language,estonia,latvia,lithuania,in_order
eo,estonujo,latvujo,litovujo,True
kk_Arab,ەستونيا,لاتۆيا,ليتۆا,False
rm,estonia,lettonia,lituania,True
ab,естониа,латвиа,литва,True
bew,èstlan,lètlan,litowen,True
ebu,estonia,lativia,litwania,True
lv,igaunija,latvija,lietuva,True
ko,에스토니아,라트비아,리투아니아,False
cs,estonsko,lotyšsko,litva,False
tk,estoniýa,latwiýa,litwa,True
tok,ma esi,ma lawi,ma lijatuwa,True
tt,эстония,латвия,литва,False
mzn,استونی,لاتویا,لتونی,True
en,estonia,latvia,lithuania,True
ak,ɛstonia,latvia,lituwenia,True
bm,esetoni,letoni,lituyani,True
so,estooniya,latfiya,lituweeniya,True
bal_Latn,estóniá,latwiá,lituániá,True
la,estonia,lettonia,lituania,True
ia,estonia,lettonia,lituania,True
zh,爱沙尼亚,拉脱维亚,立陶宛,True
oc,estònia,letònia,lituània,True
sc,estònia,letònia,lituània,True
pa,ਇਸਟੋਨੀਆ,ਲਾਤਵੀਆ,ਲਿਥੁਆਨੀਆ,True
trw,اسٹونیا,لٹویا,لیتھونیا,True
vun,estonia,lativia,litwania,True
rn,esitoniya,lativa,lituwaniya,True
bn,এস্তোনিয়া,লাটভিয়া,লিথুয়ানিয়া,True
tig,ኤስቶኒያ,ላትቪያ,ሊቱዌኒያ,False
hi,एस्टोनिया,लातविया,लिथुआनिया,True
mas,estonia,lativia,litwania,True
am,ኤስቶኒያ,ላትቪያ,ሊቱዌኒያ,False
as,ইষ্টোনিয়া,লাটভিয়া,লিথুৱানিয়া,True
tzm,isṭunya,liṭṭunya,litwanya,True
xnr,एस्टोनिया,लातविया,लिथुआनिया,True
sat,ᱮᱥᱴᱚᱱᱤᱭᱟ,ᱞᱟᱛᱣᱤᱭᱟ,ᱞᱤᱛᱷᱩᱣᱟᱱᱤᱭᱟ,False
fy,estlân,letlân,litouwen,True
my,အက်စတိုးနီးယား,လတ်ဗီးယား,လစ်သူဝေးနီးယား,False
kok,एस्टोनिया,लाटविया,लितुआनिया,True
fi,viro,latvia,liettua,False
lg,esitoniya,lativya,lisuwenya,True
fil,estonia,latvia,lithuania,True
dav,estonia,lativia,litwania,True
fr,estonie,lettonie,lituanie,True
lag,estonía,lativia,lisuánia,True
kaa,эстония,латвия,литва,False
tg,эстония,латвия,литва,False
ksh,äßland,lätland,littaue,True
ar,إستونيا,لاتفيا,ليتوانيا,True
el,εσθονία,λετονία,λιθουανία,True
fo,estland,lettland,litava,True
cop,ϯⲉⲥⲑⲟⲛⲓⲁ,ϯⲗⲁⲑⲃⲓⲁ,ϯⲗⲓⲑⲟⲩⲁⲛⲓⲁ,True
de,estland,lettland,litauen,True
syr,ܐܣܛܘܢܝܐ,ܠܐܛܒܝܐ,ܠܬܘܢܝܐ,True
da,estland,letland,litauen,True
ru,эстония,латвия,литва,False
bo,ཨིསྟོ་ནི་ཡ།,ལཏ་བི་ཡ།,ལི་ཐུ་ཨེ་ནི་ཡ།,False
mfe,estoni,letoni,lituani,True
cgg,esitoniya,latviya,lithuania,True
sms,viro,latviajânnam,liettua,False
rof,estonia,lativia,litwania,True
sq,estoni,letoni,lituani,True
yue,愛沙尼亞,拉脫維亞,立陶宛,False
za,aisahnizya,lahdozveizya,lizdauzvanj,True
szl,estōnijo,łotwa,litwa,False
wae,eštland,lettland,litaue,True
nds,eestland,lettland,litauen,True
kok_Latn,estonia,latvia,lithuania,True
lo,ເອສໂຕເນຍ,ລັດເວຍ,ລິທົວເນຍ,False
az,estoniya,latviya,litva,True
ckb,ئیستۆنیا,لاتڤیا,لیتوانایا,True
kxv_Deva,एस्टोनिया,लातविया,लितुआनिया,True
th,เอสโตเนีย,ลัตเวีย,ลิทัวเนีย,False
te,ఎస్టోనియా,లాత్వియా,లిథువేనియా,True
scn,estonia,littonia,lituania,True
nl,estland,letland,litouwen,True
to,ʻesitōnia,lativia,lituania,False
mr,एस्टोनिया,लाटव्हिया,लिथुआनिया,True
yo,esitonia,latifia,lituania,True
uk,естонія,латвія,литва,True
kea,stónia,letónia,lituánia,False
nd,estonia,latvia,lithuania,True
ug,ئېستونىيە,لاتۋىيە,لىتۋانىيە,True
af,estland,letland,litaue,True
lt,estija,latvija,lietuva,True
ka,ესტონეთი,ლატვია,ლიეტუვა,True
be,эстонія,латвія,літва,False
mk,естонија,латвија,литванија,True
ccp,𑄆𑄌𑄴𑄖𑄮𑄚𑄨𑄠,𑄣𑄖𑄴𑄞𑄨𑄠,𑄣𑄨𑄗𑄪𑄠𑄚𑄨𑄠,True
fa_AF,استونیا,لاتویا,لتوانیا,True
mi,etōnia,rāwhia,rituānia,True
teo,estonia,lativia,litwania,True
qu,estonia,letonia,lituania,True
ku,estonya,letonya,lîtvanya,True
mer,estonia,lativia,lithuania,True
